Extraction Vial No. ,Project #,Island,Site,Species,Coral #,Sample name,Methanol control ,Methanol control vial no.,Notes,,,,,,,,,
52,1,Maui,5,M. capitata,3,WM-S05-C03-MC,WM-Methanol-3,3,,,,,,,,,,
53,1,Maui,5,M. capitata,4,WM-S05-C04-MC,WM-Methanol-3,3,,,,,,,,,,
54,1,Maui,5,M. capitata,5,WM-S05-C05-MC,WM-Methanol-3,3,,,,,,,,,,
55,1,Maui,5,M. capitata,6,WM-S05-C06-MC,WM-Methanol-3,3,,,,,,,,,,
56,1,Maui,5,M. capitata,7,WM-S05-C07-MC,WM-Methanol-3,3,,,,,,,,,,
57,1,Maui,5,M. capitata,8,WM-S05-C08-MC,WM-Methanol-3,3,,,,,,,,,,
58,1,Maui,5,M. capitata,9,WM-S05-C09-MC,WM-Methanol-3,3,,,,,,,,,,
59,1,Maui,5,M. capitata,10,WM-S05-C10-MC,WM-Methanol-3,3,,,,,,,,,,
60,1,Maui,5,M. capitata,11,WM-S05-C11-MC,WM-Methanol-3,3,,,,,,,,,,
61,1,Maui,5,M. capitata,12,WM-S05-C12-MC,WM-Methanol-3,3,,,,,,,,,,
62,1,Maui,5,M. capitata,13,WM-S05-C13-MC,WM-Methanol-3,3,,,,,,,,,,
63,1,Maui,5,M. capitata,14,WM-S05-C14-MC,WM-Methanol-3,3,,,,,,,,,,
64,1,Maui,5,M. capitata,15,WM-S05-C15-MC,WM-Methanol-3,3,,,,,,,,,,
65,1,Maui,6,M. capitata,1,WM-S06-C01-MC,WM-Methanol-3,3,,,,,,,,,,
66,1,Maui,6,M. capitata,2,WM-S06-C02-MC,WM-Methanol-4,4,,,,,,,,,,
67,1,Maui,6,M. capitata,4,WM-S06-C04-MC,WM-Methanol-4,4,,,,,,,,,,
68,1,Maui,6,M. capitata,5,WM-S06-C05-MC,WM-Methanol-4,4,,,,,,,,,,
69,1,Maui,6,M. capitata,6,WM-S06-C06-MC,WM-Methanol-4,4,,,,,,,,,,
70,1,Maui,6,M. capitata,7,WM-S06-C07-MC,WM-Methanol-4,4,,,,,,,,,,
71,1,Maui,6,M. capitata,8,WM-S06-C08-MC,WM-Methanol-4,4,,,,,,,,,,
72,1,Maui,6,M. capitata,9,WM-S06-C09-MC,WM-Methanol-4,4,,,,,,,,,,
73,1,Maui,6,M. capitata,10,WM-S06-C10-MC,WM-Methanol-4,4,,,,,,,,,,
74,1,Maui,6,M. capitata,11,WM-S06-C11-MC,WM-Methanol-4,4,,,,,,,,,,
75,1,Maui,6,M. capitata,12,WM-S06-C12-MC,WM-Methanol-4,4,,,,,,,,,,
76,1,Maui,7,M. capitata,1,WM-S07-C01-MC,WM-Methanol-4,4,,,,,,,,,,
77,1,Maui,7,M. capitata,2,WM-S07-C02-MC,WM-Methanol-4,4,,,,,,,,,,
78,1,Maui,7,M. capitata,3,WM-S07-C03-MC,WM-Methanol-4,4,,,,,,,,,,
79,1,Maui,7,M. capitata,4,WM-S07-C04-MC,WM-Methanol-4,4,,,,,,,,,,
80,1,Maui,7,M. capitata,5,WM-S07-C05-MC,WM-Methanol-4,4,,,,,,,,,,
81,1,Maui,7,M. capitata,6,WM-S07-C06-MC,WM-Methanol-4,4,,,,,,,,,,
82,1,Maui,7,M. capitata,7,WM-S07-C07-MC,WM-Methanol-4,4,,,,,,,,,,
83,1,Maui,7,M. capitata,8,WM-S07-C08-MC,WM-Methanol-4,4,,,,,,,,,,
84,1,Maui,7,M. capitata,9,WM-S07-C09-MC,WM-Methanol-4,4,,,,,,,,,,
85,1,Maui,7,M. capitata,10,WM-S07-C10-MC,WM-Methanol-4,4,,,,,,,,,,
86,1,Maui,7,M. capitata,11,WM-S07-C11-MC,WM-Methanol-4,4,,,,,,,,,,
87,1,Maui,7,M. capitata,12,WM-S07-C12-MC,WM-Methanol-4,4,,,,,,,,,,
88,1,Maui,8,M. capitata,1,WM-S08-C01-MC,WM-Methanol-5,5,,,,,,,,,,
89,1,Maui,8,M. capitata,2,WM-S08-C02-MC,WM-Methanol-5,5,,,,,,,,,,
90,1,Maui,8,M. capitata,3,WM-S08-C03-MC,WM-Methanol-5,5,,,,,,,,,,
91,1,Maui,8,M. capitata,4,WM-S08-C04-MC,WM-Methanol-5,5,,,,,,,,,,
92,1,Maui,8,M. capitata,5,WM-S08-C05-MC,WM-Methanol-5,5,,,,,,,,,,
93,1,Maui,8,M. capitata,6,WM-S08-C06-MC,WM-Methanol-5,5,,,,,,,,,,
94,1,Maui,8,M. capitata,7,WM-S08-C07-MC,WM-Methanol-5,5,,,,,,,,,,
95,1,Maui,8,M. capitata,8,WM-S08-C08-MC,WM-Methanol-5,5,,,,,,,,,,
96,1,Maui,8,M. capitata,9,WM-S08-C09-MC,WM-Methanol-5,5,,,,,,,,,,
97,1,Maui,8,M. capitata,10,WM-S08-C10-MC,WM-Methanol-5,5,,,,,,,,,,
98,1,Maui,8,M. capitata,11,WM-S08-C11-MC,WM-Methanol-5,5,,,,,,,,,,
99,1,Maui,8,M. capitata,12,WM-S08-C12-MC,WM-Methanol-5,5,,,,,,,,,,
100,1,Maui,9,M. capitata,1,WM-S09-C01-MC,WM-Methanol-5,5,,,,,,,,,,
101,1,Maui,9,M. capitata,2,WM-S09-C02-MC,WM-Methanol-5,5,,,,,,,,,,
102,1,Maui,9,M. capitata,3,WM-S09-C03-MC,WM-Methanol-5,5,,,,,,,,,,
103,1,Maui,9,M. capitata,4,WM-S09-C04-MC,WM-Methanol-5,5,,,,,,,,,,
104,1,Maui,9,M. capitata,5,WM-S09-C05-MC,WM-Methanol-5,5,,,,,,,,,,
105,1,Maui,9,M. capitata,6,WM-S09-C06-MC,WM-Methanol-5,5,,,,,,,,,,
106,1,Maui,9,M. capitata,7,WM-S09-C07-MC,WM-Methanol-5,5,,,,,,,,,,
107,1,Maui,9,M. capitata,8,WM-S09-C08-MC,WM-Methanol-5,5,,,,,,,,,,
108,1,Maui,9,M. capitata,9,WM-S09-C09-MC,WM-Methanol-6,6,,,,,,,,,,
109,1,Maui,9,M. capitata,10,WM-S09-C10-MC,WM-Methanol-6,6,,,,,,,,,,
110,1,Maui,9,M. capitata,11,WM-S09-C11-MC,WM-Methanol-6,6,,,,,,,,,,
111,1,Maui,9,M. capitata,12,WM-S09-C12-MC,WM-Methanol-6,6,,,,,,,,,,
112,1,Maui,10,M. capitata,1,WM-S10-C01-MC,WM-Methanol-5,5,,,,,,,,,,
113,1,Maui,10,M. capitata,2,WM-S10-C02-MC,WM-Methanol-5,5,,,,,,,,,,
114,1,Maui,10,M. capitata,3,WM-S10-C03-MC,WM-Methanol-5,5,,,,,,,,,,
115,1,Maui,10,M. capitata,4,WM-S10-C04-MC,WM-Methanol-5,5,,,,,,,,,,
116,1,Maui,10,M. capitata,5,WM-S10-C05-MC,WM-Methanol-5,5,,,,,,,,,,
117,1,Maui,10,M. capitata,6,WM-S10-C06-MC,WM-Methanol-5,5,,,,,,,,,,
118,1,Maui,10,M. capitata,7,WM-S10-C07-MC,WM-Methanol-5,5,,,,,,,,,,
119,1,Maui,10,M. capitata,8,WM-S10-C08-MC,WM-Methanol-5,5,,,,,,,,,,
120,1,Maui,10,M. capitata,9,WM-S10-C09-MC,WM-Methanol-5,5,,,,,,,,,,
121,1,Maui,10,M. capitata,10,WM-S10-C10-MC,WM-Methanol-5,5,,,,,,,,,,
122,1,Maui,10,M. capitata,11,WM-S10-C11-MC,WM-Methanol-5,5,,,,,,,,,,
123,1,Maui,10,M. capitata,12,WM-S10-C12-MC,WM-Methanol-5,5,,,,,,,,,,
124,1,Maui,11,M. capitata,1,WM-S11-C01-MC,WM-Methanol-6,6,,,,,,,,,,
125,1,Maui,11,M. capitata,2,WM-S11-C02-MC,WM-Methanol-6,6,,,,,,,,,,
126,1,Maui,11,M. capitata,3,WM-S11-C03-MC,WM-Methanol-6,6,,,,,,,,,,
127,1,Maui,11,M. capitata,4,WM-S11-C04-MC,WM-Methanol-6,6,,,,,,,,,,
128,1,Maui,11,M. capitata,5,WM-S11-C05-MC,WM-Methanol-6,6,,,,,,,,,,
129,1,Maui,11,M. capitata,6,WM-S11-C06-MC,WM-Methanol-6,6,,,,,,,,,,
130,1,Maui,11,M. capitata,7,WM-S11-C07-MC,WM-Methanol-6,6,,,,,,,,,,
131,1,Maui,11,M. capitata,8,WM-S11-C08-MC,WM-Methanol-6,6,,,,,,,,,,
132,1,Maui,11,M. capitata,9,WM-S11-C09-MC,WM-Methanol-6,6,,,,,,,,,,
133,1,Maui,11,M. capitata,10,WM-S11-C10-MC,WM-Methanol-6,6,,,,,,,,,,
134,1,Maui,11,M. capitata,11,WM-S11-C11-MC,WM-Methanol-6,6,,,,,,,,,,
135,1,Maui,11,M. capitata,12,WM-S11-C12-MC,WM-Methanol-6,6,,,,,,,,,,
136,1,Maui,12,M. capitata,1,WM-S12-C01-MC,WM-Methanol-7,7,,,,,,,,,,
137,1,Maui,12,M. capitata,2,WM-S12-C02-MC,WM-Methanol-7,7,,,,,,,,,,
138,1,Maui,12,M. capitata,3,WM-S12-C03-MC,WM-Methanol-7,7,,,,,,,,,,
139,1,Maui,12,M. capitata,4,WM-S12-C04-MC,WM-Methanol-7,7,,,,,,,,,,
140,1,Maui,12,M. capitata,5,WM-S12-C05-MC,WM-Methanol-7,7,,,,,,,,,,
141,1,Maui,12,M. capitata,6,WM-S12-C06-MC,WM-Methanol-7,7,,,,,,,,,,
142,1,Maui,12,M. capitata,7,WM-S12-C07-MC,WM-Methanol-7,7,,,,,,,,,,
143,1,Maui,12,M. capitata,8,WM-S12-C08-MC,WM-Methanol-7,7,,,,,,,,,,
144,1,Maui,12,M. capitata,9,WM-S12-C09-MC,WM-Methanol-7,7,,,,,,,,,,
145,1,Maui,12,M. capitata,10,WM-S12-C10-MC,WM-Methanol-7,7,,,,,,,,,,
146,1,Maui,12,M. capitata,11,WM-S12-C11-MC,WM-Methanol-7,7,,,,,,,,,,
147,1,Maui,12,M. capitata,12,WM-S12-C12-MC,WM-Methanol-7,7,,,,,,,,,,
148,1,Maui,13,M. capitata,1,WM-S13-C01-MC,WM-Methanol-7,7,,,,,,,,,,
149,1,Maui,13,M. capitata,2,WM-S13-C02-MC,WM-Methanol-7,7,,,,,,,,,,
150,1,Maui,13,M. capitata,3,WM-S13-C03-MC,WM-Methanol-7,7,,,,,,,,,,
151,1,Maui,13,M. capitata,4,WM-S13-C04-MC,WM-Methanol-7,7,,,,,,,,,,
152,1,Maui,13,M. capitata,5,WM-S13-C05-MC,WM-Methanol-7,7,,,,,,,,,,
153,1,Maui,13,M. capitata,6,WM-S13-C06-MC,WM-Methanol-7,7,,,,,,,,,,
154,1,Maui,13,M. capitata,7,WM-S13-C07-MC,WM-Methanol-7,7,,,,,,,,,,
155,1,Maui,13,M. capitata,8,WM-S13-C08-MC,WM-Methanol-7,7,,,,,,,,,,
156,1,Maui,13,M. capitata,9,WM-S13-C09-MC,WM-Methanol-7,7,,,,,,,,,,
157,1,Maui,13,M. capitata,10,WM-S13-C10-MC,WM-Methanol-7,7,,,,,,,,,,
158,1,Maui,13,M. capitata,11,WM-S13-C11-MC,WM-Methanol-7,7,,,,,,,,,,
159,1,Maui,13,M. capitata,12,WM-S13-C12-MC,WM-Methanol-7,7,,,,,,,,,,
160,1,Maui,14,M. capitata,1,WM-S14-C01-MC,WM-Methanol-6,6,,,,,,,,,,
161,1,Maui,14,M. capitata,2,WM-S14-C02-MC,WM-Methanol-6,6,,,,,,,,,,
162,1,Maui,14,M. capitata,3,WM-S14-C03-MC,WM-Methanol-6,6,,,,,,,,,,
163,1,Maui,14,M. capitata,4,WM-S14-C04-MC,WM-Methanol-6,6,,,,,,,,,,
164,1,Maui,14,M. capitata,5,WM-S14-C05-MC,WM-Methanol-6,6,,,,,,,,,,
165,1,Maui,14,M. capitata,6,WM-S14-C06-MC,WM-Methanol-6,6,,,,,,,,,,
166,1,Maui,14,M. capitata,7,WM-S14-C07-MC,WM-Methanol-6,6,,,,,,,,,,
167,1,Maui,14,M. capitata,8,WM-S14-C08-MC,WM-Methanol-6,6,,,,,,,,,,
168,1,Maui,14,M. capitata,9,WM-S14-C09-MC,WM-Methanol-6,6,,,,,,,,,,
169,1,Maui,14,M. capitata,10,WM-S14-C10-MC,WM-Methanol-6,6,,,,,,,,,,
170,1,Maui,14,M. capitata,11,WM-S14-C11-MC,WM-Methanol-6,6,,,,,,,,,,
171,1,Maui,14,M. capitata,12,WM-S14-C12-MC,WM-Methanol-6,6,,,,,,,,,,
172,1,Maui,15,M. capitata,1,WM-S15-C01-MC,WM-Methanol-6,6,,,,,,,,,,
173,1,Maui,15,M. capitata,2,WM-S15-C02-MC,WM-Methanol-6,6,,,,,,,,,,
174,1,Maui,15,M. capitata,3,WM-S15-C03-MC,WM-Methanol-6,6,,,,,,,,,,
175,1,Maui,15,M. capitata,4,WM-S15-C04-MC,WM-Methanol-6,6,,,,,,,,,,
176,1,Maui,15,M. capitata,5,WM-S15-C05-MC,WM-Methanol-6,6,,,,,,,,,,
177,1,Maui,15,M. capitata,6,WM-S15-C06-MC,WM-Methanol-6,6,,,,,,,,,,
178,1,Maui,15,M. capitata,7,WM-S15-C07-MC,WM-Methanol-6,6,,,,,,,,,,
179,1,Maui,15,M. capitata,8,WM-S15-C08-MC,WM-Methanol-6,6,,,,,,,,,,
180,1,Maui,15,M. capitata,9,WM-S15-C09-MC,WM-Methanol-6,6,,,,,,,,,,
181,1,Maui,15,M. capitata,10,WM-S15-C10-MC,WM-Methanol-6,6,,,,,,,,,,
182,1,Maui,15,M. capitata,11,WM-S15-C11-MC,WM-Methanol-6,6,,,,,,,,,,
183,1,Maui,15,M. capitata,12,WM-S15-C12-MC,WM-Methanol-6,6,,,,,,,,,,
184,1,Maui,16,M. capitata,1,WM-S16-C01-MC,WM-Methanol-8,8,,,,,,,,,,
185,1,Maui,16,M. capitata,2,WM-S16-C02-MC,WM-Methanol-8,8,,,,,,,,,,
186,1,Maui,16,M. capitata,3,WM-S16-C03-MC,WM-Methanol-8,8,,,,,,,,,,
187,1,Maui,16,M. capitata,4,WM-S16-C04-MC,WM-Methanol-8,8,,,,,,,,,,
188,1,Maui,16,M. capitata,5,WM-S16-C05-MC,WM-Methanol-8,8,,,,,,,,,,
189,1,Maui,16,M. capitata,6,WM-S16-C06-MC,WM-Methanol-8,8,,,,,,,,,,
190,1,Maui,16,M. capitata,7,WM-S16-C07-MC,WM-Methanol-8,8,,,,,,,,,,
191,1,Maui,16,M. capitata,8,WM-S16-C08-MC,WM-Methanol-8,8,,,,,,,,,,
192,1,Maui,16,M. capitata,9,WM-S16-C09-MC,WM-Methanol-8,8,,,,,,,,,,
193,1,Maui,16,M. capitata,10,WM-S16-C10-MC,WM-Methanol-8,8,,,,,,,,,,
194,1,Maui,16,M. capitata,11,WM-S16-C11-MC,WM-Methanol-8,8,,,,,,,,,,
195,1,Maui,16,M. capitata,12,WM-S16-C12-MC,WM-Methanol-8,8,,,,,,,,,,
196,1,Maui,17,M. capitata,1,WM-S17-C01-MC,WM_Unknown,,,,,,,,,,,
197,1,Maui,17,M. capitata,2,WM-S17-C02-MC,WM_Unknown,,,,,,,,,,,
198,1,Maui,17,M. capitata,3,WM-S17-C03-MC,WM_Unknown,,,,,,,,,,,
199,1,Maui,17,M. capitata,4,WM-S17-C04-MC,WM_Unknown,,,,,,,,,,,
200,1,Maui,17,M. capitata,5,WM-S17-C05-MC,WM_Unknown,,,,,,,,,,,
201,1,Maui,17,M. capitata,6,WM-S17-C06-MC,WM_Unknown,,,,,,,,,,,
202,1,Maui,17,M. capitata,7,WM-S17-C07-MC,WM_Unknown,,,,,,,,,,,
203,1,Maui,17,M. capitata,8,WM-S17-C08-MC,WM_Unknown,,,,,,,,,,,
204,1,Maui,17,M. capitata,9,WM-S17-C09-MC,WM_Unknown,,,,,,,,,,,
205,1,Maui,17,M. capitata,10,WM-S17-C10-MC,WM_Unknown,,,,,,,,,,,
206,1,Maui,17,M. capitata,11,WM-S17-C11-MC,WM_Unknown,,,,,,,,,,,
207,1,Maui,17,M. capitata,12,WM-S17-C12-MC,WM_Unknown,,,,,,,,,,,
208,1,Maui,18,M. capitata,1,WM-S18-C01-MC,WM-Methanol-8,8,,,,,,,,,,
209,1,Maui,18,M. capitata,2,WM-S18-C02-MC,WM-Methanol-8,8,,,,,,,,,,
210,1,Maui,18,M. capitata,3,WM-S18-C03-MC,WM-Methanol-8,8,,,,,,,,,,
211,1,Maui,18,M. capitata,4,WM-S18-C04-MC,WM-Methanol-8,8,,,,,,,,,,
212,1,Maui,18,M. capitata,5,WM-S18-C05-MC,WM-Methanol-8,8,,,,,,,,,,
213,1,Maui,18,M. capitata,6,WM-S18-C06-MC,WM-Methanol-8,8,,,,,,,,,,
214,1,Maui,18,M. capitata,7,WM-S18-C07-MC,WM-Methanol-8,8,,,,,,,,,,
215,1,Maui,18,M. capitata,8,WM-S18-C08-MC,WM-Methanol-8,8,,,,,,,,,,
216,1,Maui,18,M. capitata,9,WM-S18-C09-MC,WM-Methanol-8,8,,,,,,,,,,
217,1,Maui,18,M. capitata,10,WM-S18-C10-MC,WM_Unknown,,,,,,,,,,,
218,1,Maui,18,M. capitata,11,WM-S18-C11-MC,WM_Unknown,,,,,,,,,,,
219,1,Maui,18,M. capitata,12,WM-S18-C12-MC,WM_Unknown,,,,,,,,,,,
220,1,Maui,19,M. capitata,1,WM-S19-C01-MC,WM-Methanol-8,8,,,,,,,,,,
221,1,Maui,19,M. capitata,2,WM-S19-C02-MC,WM-Methanol-8,8,,,,,,,,,,
222,1,Maui,19,M. capitata,3,WM-S19-C03-MC,WM-Methanol-8,8,,,,,,,,,,
223,1,Maui,19,M. capitata,4,WM-S19-C04-MC,WM-Methanol-8,8,,,,,,,,,,
224,1,Maui,19,M. capitata,5,WM-S19-C05-MC,WM-Methanol-8,8,,,,,,,,,,
225,1,Maui,19,M. capitata,6,WM-S19-C06-MC,WM-Methanol-8,8,,,,,,,,,,
226,1,Maui,19,M. capitata,7,WM-S19-C07-MC,WM-Methanol-8,8,,,,,,,,,,
227,1,Maui,19,M. capitata,8,WM-S19-C08-MC,WM-Methanol-8,8,,,,,,,,,,
228,1,Maui,19,M. capitata,9,WM-S19-C09-MC,WM-Methanol-8,8,,,,,,,,,,
229,1,Maui,19,M. capitata,10,WM-S19-C10-MC,WM-Methanol-8,8,,,,,,,,,,
230,1,Maui,19,M. capitata,11,WM-S19-C11-MC,WM-Methanol-8,8,,,,,,,,,,
231,1,Maui,19,M. capitata,12,WM-S19-C12-MC,WM-Methanol-8,8,,,,,,,,,,
232,1,Maui,20,M. capitata,1,WM-S20-C01-MC,WM_Unknown,,,,,,,,,,,
233,1,Maui,20,M. capitata,2,WM-S20-C02-MC,WM_Unknown,,,,,,,,,,,
234,1,Maui,20,M. capitata,3,WM-S20-C03-MC,WM_Unknown,,,,,,,,,,,
235,1,Maui,20,M. capitata,4,WM-S20-C04-MC,WM_Unknown,,,,,,,,,,,
236,1,Maui,20,M. capitata,5,WM-S20-C05-MC,WM_Unknown,,,,,,,,,,,
237,1,Maui,20,M. capitata,6,WM-S20-C06-MC,WM_Unknown,,,,,,,,,,,
238,1,Maui,20,M. capitata,7,WM-S20-C07-MC,WM_Unknown,,,,,,,,,,,
239,1,Maui,20,M. capitata,8,WM-S20-C08-MC,WM_Unknown,,,,,,,,,,,
240,1,Maui,20,M. capitata,9,WM-S20-C09-MC,WM_Unknown,,,,,,,,,,,
241,1,Maui,20,M. capitata,10,WM-S20-C10-MC,WM_Unknown,,,,,,,,,,,
242,1,Maui,20,M. capitata,11,WM-S20-C11-MC,WM_Unknown,,,,,,,,,,,
243,1,Maui,20,M. capitata,12,WM-S20-C12-MC,WM_Unknown,,,,,,,,,,,
