formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C8H6O	[M + H3N + H]+	C8H10NO+	46.132	42.979	3.153	2	0.035	-4.859	4.859	-0.738		136.076	87	592790046321273462	592789406723448281	39
1	C7H9NO3	[M - H2O + H]+	C7H8NO2+	83.575	80.611	2.964	13	0.968	-3.764	3.764	-130460.327		138.055	82	592790050763046120	592789406832500190	40
1	C7H9NO3	[M - H2O + H]+	C7H8NO2+	53.448	48.605	4.843	15	1.000	-3.056	3.056	-130460.491		138.055	50	592790043938907224	592789406991883747	41
1	C7H9NO3	[M - H2O + H]+	C7H8NO2+	50.106	47.148	2.957	14	1.000	-3.442	3.442	-130460.573		138.055	48	592790033914516435	592789407100935656	42
1	C5H11NO2	[M + Na]+	C5H11NNaO2+	30.784	28.044	2.740	7	0.945	0.450	0.538	0.005		140.068	49	592790034711434527	592789407230959085	44
1	C10H6	[M + H3N + H]+	C10H10N+	39.220	36.100	3.119	12	0.424	-1.075	1.654	-0.734		144.081	197	592790075970820253	592789407327428082	45
1	C7H15NO3	[M - H2O + H]+	C7H14NO2+	58.234	55.217	3.017	15	0.934	-3.512	3.512	-124986.128		144.102	102	592790050100345546	592789407444868599	46
1	C7H15NO3	[M - H2O + H]+	C7H14NO2+	62.912	59.879	3.033	17	0.954	-3.770	3.770	-124985.894		144.102	82	592790046577126317	592789407549726204	47
1	C7H15NO3	[M - H2O + H]+	C7H14NO2+	71.111	66.117	4.994	19	0.976	-3.194	3.194	-124986.128		144.102	56	592790048338735440	592789407650389505	48
1	C7H15NO3	[M - H2O + H]+	C7H14NO2+	68.700	65.743	2.957	18	0.994	-3.187	3.187	-124985.738		144.102	48	592790033344090658	592789407751052806	49
1	C7H17NO3	[M - H2O + H]+	C7H16NO2+	21.167	16.854	4.313	3	0.992	-3.618	3.618	-123261.902		146.117	53	592790048728806585	592789407834938891	51
1	C6H10O3	[M + H3N + H]+	C6H14NO3+	72.684	69.770	2.913	16	0.974	-2.891	2.891	-0.808		148.097	48	592790033897739188	592789407914630672	52
1	C8H6O4	[M - H2O + H]+	C8H5O3+	28.447	25.332	3.116	5	0.715	-2.753	2.753	-120857.887		149.023	637	592792153837470863	592789408006905365	53
1	C9H10O3	[M - H2O + H]+	C9H9O2+	30.598	27.332	3.265	4	0.967	-3.266	3.266	-120828.352		149.060	549	592791460804223023	592789408099180058	54
