"site_id","Latitude","Longitude","Depth","Year","Coral"
"MaMol_8",20.631483,-156.496583,8,2017,62.065
"MaMol_8",20.631483,-156.496583,8,2018,66.657
"MaOlo_3",20.808417,-156.61155,3,1999,22.9188266589798
"MaOlo_3",20.808417,-156.61155,3,2000,24.6583338816667
"MaOlo_3",20.808417,-156.61155,3,2001,21.5066667283333
"MaOlo_3",20.808417,-156.61155,3,2002,23.1597219511111
"MaOlo_3",20.808417,-156.61155,3,2003,16.29333384
"MaOlo_3",20.808417,-156.61155,3,2004,20.64
"MaOlo_3",20.808417,-156.61155,3,2005,16.64
"MaOlo_3",20.808417,-156.61155,3,2006,18.44727307
"MaOlo_3",20.808417,-156.61155,3,2007,19.6951821
"MaOlo_3",20.808417,-156.61155,3,2008,21.62424167
"MaOlo_3",20.808417,-156.61155,3,2009,18.71777773
"MaOlo_3",20.808417,-156.61155,3,2010,18.17016151
"MaOlo_3",20.808417,-156.61155,3,2011,18.93476201
"MaOlo_3",20.808417,-156.61155,3,2012,17.33933656
"MaOlo_3",20.808417,-156.61155,3,2013,17.0985
"MaOlo_3",20.808417,-156.61155,3,2014,15.0585337995338
"MaOlo_3",20.808417,-156.61155,3,2015,18.9044292929293
"MaOlo_3",20.808417,-156.61155,3,2016,5.41395143745144
"MaOlo_3",20.808417,-156.61155,3,2017,6.28164552114552
"MaOlo_3",20.808417,-156.61155,3,2018,5.78993506493507
"MaOlo_3",20.808417,-156.61155,3,2019,7.34149184149184
"MaOlo_3",20.808417,-156.61155,3,2020,6.21238095238095
"MaOlo_3",20.808417,-156.61155,3,2021,7.67352647352647
"MaOlo_3",20.808417,-156.61155,3,2022,7.58981018981019
"MaOlo_3",20.808417,-156.61155,3,2023,9.54545454545454
